query,locale,status,intent,realistic_shot_12mo,pillar,target_page,gsc_impressions,gsc_position,volume,volume_source,serp_owner_type,reasoning
web design tel aviv,en,Target,Money,Low,web-dev,/en/services/web-development,,,Prefix echoes itself; only completion returned,SERP,TechBehemoths/Sortlist/Konigle directories + go-globe vendor page,"Aiterra is in Bat Yam not Tel Aviv. Claim 'Tel Aviv area', NEVER a Tel Aviv address - a fake address is a GBP suspension risk for zero upside"
marketing agency israel / digital marketing israel,en,Target,Money,Low,brand,/en,,,Both prefixes echo themselves,SERP,Directory-heavy,Secondary reinforcement only. The EN tree has no marketing/PPC service page to support it
"Israeli client brand names: olie 6, neot sade, alova, hofit cosmetics, karin cohen",en,Target,Money,Medium,projects,/en/projects,,,Not probed in Suggest; the HE-side GSC export already records a real click on 'olie 6',unverified,Client's own sites,"The only realistic English target for a 252-word page with no rendered project links. These names are also the tree's only latent geographic signal - Israeli brands, currently unexplained to an English reader"
wordpress to next js migration,en,Target,Comparison,Low,web-dev,"NO HOME under the 8-page cap",,,Prefix echoes itself; family is rich (convert..., ...headless, wordpress vs next js),SERP,"No directories at all - DevCritters x4, NCoders, ZTABS, fachremyputra: all dedicated content/service assets","Genuinely enterable SERP and a real Aiterra capability, but every ranker is a 2000+ word dedicated asset with cost tables. A subsection of an 833-word page will not place. Recorded as homeless, not fighting the 8-page decision"
software development company in israel,en,Target,Money,None,development,/en/services/development,,,"'development company in israel' completes to it; Trends shows it largest of three Israel terms tested, still near the floor",Trends,"Clutch/TechBehemoths/GoodFirms/BuiltIn directories + Scalosoft, Intersog, Fayrix (offshore vendors, 1500-engineer scale)","Directory-locked, and vendor slots go to outsourcing houses selling headcount. A 777-word page does not enter this. Keep the page for topical support and conversion, not ranking"
web development company israel,en,Target,Money,None,web-dev,/en/services/web-development (mention only),,,"Suggest returns an EMPTY array. Also empty for '...in israel', '...tel aviv', '...bat yam'. Trends: relative index 0 in every one of ~250 datapoints while 'seo agency' peaked at 100",SERP,6 directories + 1 offshore vendor + 1 listicle. ZERO Israeli agency sites in 8 results,"Two independent failures: no measurable volume, AND Google has resolved it to 'give me a vetted list' which one agency page structurally cannot satisfy. This is roughly what the current EN homepage title targets"
custom web development agency / custom website development,en,Target,Money,None,web-dev,/en/services/web-development,,,"Completions carry city/country modifiers - toronto, london, gold coast, usa, india, bangalore, dubai, calgary. 'israel' appears in NONE of them",SERP,"Global, DR-gated, offshore-vendor-saturated","This is what the page is currently titled for. 833 anonymous words against Indian dev shops with hundreds of pages. The absence of an Israel modifier proves geography cannot be bolted onto this phrasing"
custom web application development,en,Target,Money,None,development,/en/services/development,,,"'custom web platform development' canonicalises to it; every modifier is India (mumbai, kochi, trivandrum, coimbatore, bhubaneswar)",SERP,Offshore vendors,Confirms the platform page has no winnable head term in English
code ownership / who owns my website code,en,Target,Skip,None,web-dev,/en + /en/services/web-development (copy only),,,"EMPTY arrays. 'website code ownership' completes only to the unrelated 'website title code'",SERP,n/a,"Nobody searches this. It is Aiterra's strongest SALES message and its weakest KEYWORD. Keep it prominent on-page as a conversion device; assign it no ranking expectation"
web development agency tel aviv,en,EXCLUDED,Skip,None,web-dev,,,,Empty Suggest array,SERP,"TechBehemoths x3, Sortlist x2, Konigle, Sapphire, GO-Globe",Directory lock. No home worth giving it
web developer tel aviv,en,EXCLUDED,Skip,None,web-dev,,,,"Completes to 'web design tel aviv', then drifts to 'web developer salary per month'",SERP,Job boards / salary content,"Google reads this as job-seeker intent, not buyer intent. Ranking for it would bring applicants, not clients"
nearshore development israel,en,EXCLUDED,Skip,None,development,,,,,SERP,"Sigma Software, BairesDev, 10Pearls, HatchWorks","WRONG SIDE OF THE TRANSACTION. The SERP is about Israeli companies BUYING nearshore capacity in Romania/Ukraine - Aiterra would be the buyer, not the seller. Suggest returns nothing for 'outsource development israel'"
next js agency,en,EXCLUDED,Skip,None,web-dev,,,,"Suggest dominated by 'next js agency template', '...template free', '...website github'",SERP,Theme/template shops,"Developers shopping for a theme, not businesses hiring. Traffic would be worthless"
nextjs development company,en,EXCLUDED,Skip,None,web-dev,,,,Every modifier is india/pune/ahmedabad/usa/dubai,SERP,Offshore vendors,Real query but offshore price competition Aiterra cannot and should not win
seo consultant israel,en,EXCLUDED,Skip,None,seo,,,,Suggest CANONICALISES AWAY from it to 'seo company israel'/'seo services israel',SERP,n/a,Not a phrase people type; already covered by the canonical forms
software company israel,en,EXCLUDED,Skip,None,development,,,,Canonical form of 'software house israel',SERP,n/a,"Intent is people researching Israeli tech companies (Wix, Check Point) - informational, not vendor-seeking"
"web app development company israel, web development services israel, web design company in israel, top web development companies in israel",en,EXCLUDED,Skip,None,web-dev,,,,All return EMPTY Suggest arrays,SERP,n/a,Dead phrasings
"best seo company israel, israel seo expert, b2b seo israel, english seo israel",en,EXCLUDED,Skip,None,seo,,,,All empty,SERP,n/a,"The modifiers do not survive; only the bare 'seo {company|services|agency} israel' forms are live"
"web development company bat yam, seo bat yam",en,EXCLUDED,Skip,None,local,,,,Empty arrays,SERP,n/a,"Bat Yam has NO English search demand. Bat Yam belongs in the NAP and schema for entity/E-E-A-T purposes, NOT as a keyword target"
"how much does a website cost in israel, website cost israel, web development prices israel",en,EXCLUDED,Skip,None,pricing,,,,All empty,SERP,n/a,"IMPORTANT: the exact opposite of Hebrew, where ~1400 impressions sit on the cost cluster. DO NOT translate the Hebrew cost strategy into English"
"bilingual hebrew english website, startup website agency israel, landing page israel, ai automation agency israel, internal tools development agency, hire developers israel",en,EXCLUDED,Skip,None,misc,,,,All empty arrays,SERP,n/a,No measurable demand in English
rtl website design / rtl in web development,en,EXCLUDED,Informational,None,web-dev,,,,Live but purely informational,SERP,Developer tutorials,"Developers learning RTL, not buyers. Would need a blog post and there is no /en/blog. NO HOME"
ecommerce / shopify development company israel,en,EXCLUDED,Money,None,ecommerce,,,,Live family,SERP,Directory-locked,"Directory-locked AND the EN tree has no ecommerce service page (EN_SERVICE_SLUGS = web-development, seo, development). Aiterra's four strongest project proofs are all stores. NO HOME among the 8"
